,index,TIME_FEN,MMSI,LON,LAT,Heading,Course,Speed
0,0,2022-01-02 00:00:00,413556520.0,121.900427,31.148423,511.0,304.9,9.1
1,1,2022-01-02 00:00:00,413556520.0,121.900053,31.148643,511.0,304.3,9.1
2,2,2022-01-02 00:00:00,413556520.0,121.899693,31.148857,511.0,303.8,9.1
3,3,2022-01-02 00:01:00,413556520.0,121.899293,31.149093,511.0,303.8,9.1
4,4,2022-01-02 00:01:00,413556520.0,121.898827,31.149353,511.0,303.8,9.1
5,5,2022-01-02 00:01:00,413556520.0,121.898427,31.149587,511.0,304.0,9.1
6,6,2022-01-02 00:01:00,413556520.0,121.897973,31.149847,511.0,303.7,9.1
7,7,2022-01-02 00:01:00,413556520.0,121.897613,31.150057,511.0,303.7,9.1
8,8,2022-01-02 00:01:00,413556520.0,121.89724,31.15027,511.0,303.7,9.1
9,9,2022-01-02 00:02:00,413556520.0,121.896827,31.1505,511.0,303.7,9.1
10,10,2022-01-02 00:02:00,413556520.0,121.89632,31.150783,511.0,304.0,9.1
11,11,2022-01-02 00:02:00,413556520.0,121.895947,31.150993,511.0,304.4,9.1
12,12,2022-01-02 00:02:00,413556520.0,121.895507,31.151263,511.0,304.4,9.1
13,13,2022-01-02 00:02:00,413556520.0,121.895133,31.151477,511.0,304.0,9.1
14,14,2022-01-02 00:02:00,413556520.0,121.89476,31.151693,511.0,304.4,9.1
15,15,2022-01-02 00:02:00,413556520.0,121.89436,31.151937,511.0,304.7,9.1
16,16,2022-01-02 00:03:00,413556520.0,121.893867,31.152233,511.0,304.0,9.1
17,17,2022-01-02 00:03:00,413556520.0,121.893053,31.15271,511.0,303.7,9.1
18,18,2022-01-02 00:03:00,413556520.0,121.89268,31.152923,511.0,303.7,9.1
19,19,2022-01-02 00:03:00,413556520.0,121.892267,31.153153,511.0,303.6,9.1
20,20,2022-01-02 00:03:00,413556520.0,121.891893,31.153367,511.0,303.7,9.1
21,21,2022-01-02 00:04:00,413556520.0,121.891413,31.153643,511.0,303.7,9.1
22,22,2022-01-02 00:04:00,413556520.0,121.89104,31.153853,511.0,303.5,9.1
23,23,2022-01-02 00:04:00,413556520.0,121.8906,31.154107,511.0,303.5,9.1
24,24,2022-01-02 00:04:00,413556520.0,121.89024,31.154313,511.0,303.7,9.1
25,25,2022-01-02 00:04:00,413556520.0,121.889827,31.15455,511.0,304.1,9.1
26,26,2022-01-02 00:04:00,413556520.0,121.889453,31.15476,511.0,304.5,9.1
27,27,2022-01-02 00:05:00,413556520.0,121.888987,31.15505,511.0,304.2,9.1
28,28,2022-01-02 00:05:00,413556520.0,121.888613,31.155267,511.0,304.3,9.1
29,29,2022-01-02 00:05:00,413556520.0,121.88816,31.155527,511.0,304.2,9.1
30,30,2022-01-02 00:05:00,413556520.0,121.8878,31.155743,511.0,304.1,9.1
31,31,2022-01-02 00:05:00,413556520.0,121.887387,31.155983,511.0,304.1,9.1
32,32,2022-01-02 00:05:00,413556520.0,121.887013,31.156197,511.0,303.9,9.0
33,33,2022-01-02 00:06:00,413556520.0,121.88652,31.15648,511.0,303.9,9.0
34,34,2022-01-02 00:06:00,413556520.0,121.886147,31.156693,511.0,304.0,9.0
35,35,2022-01-02 00:06:00,413556520.0,121.885707,31.15695,511.0,303.9,9.0
36,36,2022-01-02 00:06:00,413556520.0,121.885333,31.157163,511.0,303.9,9.1
37,37,2022-01-02 00:06:00,413556520.0,121.884933,31.157393,511.0,303.7,9.0
38,38,2022-01-02 00:06:00,413556520.0,121.884573,31.157597,511.0,303.7,9.0
39,39,2022-01-02 00:06:00,413556520.0,121.88412,31.15785,511.0,303.8,9.0
40,40,2022-01-02 00:07:00,413556520.0,121.883733,31.158087,511.0,304.2,9.0
41,41,2022-01-02 00:07:00,413556520.0,121.883267,31.158347,511.0,304.7,9.0
42,42,2022-01-02 00:07:00,413556520.0,121.88288,31.158587,511.0,305.1,9.0
43,43,2022-01-02 00:07:00,413556520.0,121.88252,31.158803,511.0,304.9,9.0
44,44,2022-01-02 00:07:00,413556520.0,121.88212,31.159043,511.0,304.7,9.0
45,45,2022-01-02 00:07:00,413556520.0,121.881707,31.159283,511.0,304.9,8.9
46,46,2022-01-02 00:08:00,413556520.0,121.881307,31.159523,511.0,304.9,9.0
47,47,2022-01-02 00:08:00,413556520.0,121.880867,31.159787,511.0,304.9,9.0
48,48,2022-01-02 00:08:00,413556520.0,121.880467,31.160027,511.0,305.0,8.9
49,49,2022-01-02 00:08:00,413556520.0,121.88012,31.160247,511.0,305.1,8.9
50,50,2022-01-02 00:08:00,413556520.0,121.87972,31.16049,511.0,305.7,8.9
51,51,2022-01-02 00:08:00,413556520.0,121.879333,31.160733,511.0,305.3,9.0
52,52,2022-01-02 00:09:00,413556520.0,121.878947,31.16097,511.0,305.0,8.9
53,53,2022-01-02 00:09:00,413556520.0,121.878507,31.16123,511.0,304.5,8.9
54,54,2022-01-02 00:09:00,413556520.0,121.878093,31.161467,511.0,304.3,9.0
55,55,2022-01-02 00:09:00,413556520.0,121.877733,31.16168,511.0,304.0,8.9
56,56,2022-01-02 00:09:00,413556520.0,121.877347,31.161913,511.0,303.9,8.9
57,57,2022-01-02 00:09:00,413556520.0,121.876933,31.162147,511.0,303.5,8.9
58,58,2022-01-02 00:10:00,413556520.0,121.876547,31.16238,511.0,303.8,8.9
59,59,2022-01-02 00:10:00,413556520.0,121.876093,31.162637,511.0,303.2,9.0
60,60,2022-01-02 00:10:00,413556520.0,121.875693,31.162863,511.0,302.6,8.9
61,61,2022-01-02 00:10:00,413556520.0,121.875307,31.16307,511.0,302.4,9.0
62,62,2022-01-02 00:10:00,413556520.0,121.874907,31.163293,511.0,303.0,9.0
63,63,2022-01-02 00:10:00,413556520.0,121.874493,31.163523,511.0,302.6,9.0
64,64,2022-01-02 00:11:00,413556520.0,121.874093,31.163747,511.0,303.1,8.9
65,65,2022-01-02 00:11:00,413556520.0,121.873653,31.163997,511.0,303.5,9.0
66,66,2022-01-02 00:11:00,413556520.0,121.87324,31.164227,511.0,303.7,9.0
67,67,2022-01-02 00:11:00,413556520.0,121.872867,31.164437,511.0,303.7,9.0
68,68,2022-01-02 00:11:00,413556520.0,121.872053,31.164907,511.0,304.5,9.0
69,69,2022-01-02 00:11:00,413556520.0,121.871653,31.165147,511.0,305.3,9.0
70,70,2022-01-02 00:12:00,413556520.0,121.871227,31.165417,511.0,305.5,9.0
71,71,2022-01-02 00:12:00,413556520.0,121.870827,31.165663,511.0,305.5,9.0
72,72,2022-01-02 00:12:00,413556520.0,121.87048,31.165883,511.0,305.4,9.0
73,73,2022-01-02 00:12:00,413556520.0,121.869693,31.16638,511.0,306.6,9.0
74,74,2022-01-02 00:12:00,413556520.0,121.86932,31.166633,511.0,308.0,9.0
75,75,2022-01-02 00:13:00,413556520.0,121.868893,31.166923,511.0,309.1,9.0
76,76,2022-01-02 00:13:00,413556520.0,121.868587,31.167137,511.0,309.0,9.0
77,77,2022-01-02 00:13:00,413556520.0,121.868187,31.16743,511.0,309.3,9.0
78,78,2022-01-02 00:13:00,413556520.0,121.867787,31.167693,511.0,309.5,9.0
79,79,2022-01-02 00:13:00,413556520.0,121.867413,31.16796,511.0,309.4,9.0
80,80,2022-01-02 00:14:00,413556520.0,121.86664,31.168523,511.0,309.4,9.0
81,81,2022-01-02 00:14:00,413556520.0,121.866333,31.16874,511.0,309.3,9.1
82,82,2022-01-02 00:14:00,413556520.0,121.865907,31.169037,511.0,309.2,9.1
83,83,2022-01-02 00:14:00,413556520.0,121.865533,31.169303,511.0,308.8,9.1
84,84,2022-01-02 00:14:00,413556520.0,121.865133,31.16957,511.0,308.8,9.1
85,85,2022-01-02 00:14:00,413556520.0,121.864747,31.169837,511.0,309.0,9.1
86,86,2022-01-02 00:15:00,413556520.0,121.864347,31.170127,511.0,309.8,9.1
87,87,2022-01-02 00:15:00,413556520.0,121.864053,31.170343,511.0,310.2,9.1
88,88,2022-01-02 00:15:00,413556520.0,121.86364,31.17064,511.0,310.8,9.1
89,89,2022-01-02 00:15:00,413556520.0,121.863267,31.17091,511.0,310.7,9.1
90,90,2022-01-02 00:15:00,413556520.0,121.862547,31.171437,511.0,310.4,9.1
91,91,2022-01-02 00:15:00,413556520.0,121.862093,31.171767,511.0,310.3,9.1
92,92,2022-01-02 00:16:00,413556520.0,121.8618,31.171987,511.0,310.3,9.2
93,93,2022-01-02 00:16:00,413556520.0,121.861387,31.17229,511.0,310.5,9.2
94,94,2022-01-02 00:16:00,413556520.0,121.861,31.17257,511.0,310.5,9.2
95,95,2022-01-02 00:16:00,413556520.0,121.860587,31.172877,511.0,310.5,9.2
96,96,2022-01-02 00:16:00,413556520.0,121.860267,31.1731,511.0,310.4,9.2
97,97,2022-01-02 00:16:00,413556520.0,121.859893,31.17338,511.0,310.7,9.2
98,98,2022-01-02 00:17:00,413556520.0,121.85952,31.173657,511.0,310.9,9.2
99,99,2022-01-02 00:17:00,413556520.0,121.859107,31.173967,511.0,311.3,9.2
100,100,2022-01-02 00:17:00,413556520.0,121.858733,31.174257,511.0,311.6,9.2
101,101,2022-01-02 00:17:00,413556520.0,121.85832,31.174573,511.0,312.0,9.3
102,102,2022-01-02 00:17:00,413556520.0,121.858027,31.174807,511.0,312.1,9.3
103,103,2022-01-02 00:17:00,413556520.0,121.857653,31.175093,511.0,312.3,9.3
104,104,2022-01-02 00:18:00,413556520.0,121.857293,31.175387,511.0,312.3,9.3
105,105,2022-01-02 00:18:00,413556520.0,121.856867,31.17571,511.0,312.3,9.3
106,106,2022-01-02 00:18:00,413556520.0,121.856493,31.176003,511.0,312.3,9.4
107,107,2022-01-02 00:18:00,413556520.0,121.856093,31.176323,511.0,312.5,9.4
108,108,2022-01-02 00:18:00,413556520.0,121.855787,31.17656,511.0,312.7,9.4
109,109,2022-01-02 00:18:00,413556520.0,121.855413,31.176857,511.0,312.9,9.4
110,110,2022-01-02 00:18:00,413556520.0,121.855,31.17719,511.0,313.2,9.4
111,111,2022-01-02 00:19:00,413556520.0,121.854627,31.177487,511.0,313.1,9.4
112,112,2022-01-02 00:19:00,413556520.0,121.854253,31.177787,511.0,312.8,9.5
113,113,2022-01-02 00:19:00,413556520.0,121.853827,31.178117,511.0,312.7,9.5
114,114,2022-01-02 00:19:00,413556520.0,121.853533,31.178357,511.0,312.5,9.5
115,115,2022-01-02 00:19:00,413556520.0,121.853147,31.178653,511.0,312.4,9.5
116,116,2022-01-02 00:19:00,413556520.0,121.852733,31.178983,511.0,312.4,9.5
117,117,2022-01-02 00:19:00,413556520.0,121.85236,31.179287,511.0,312.8,9.5
118,118,2022-01-02 00:20:00,413556520.0,121.851973,31.179587,511.0,312.6,9.6
119,119,2022-01-02 00:20:00,413556520.0,121.851547,31.179917,511.0,311.3,9.5
